ORDERNUMBER,QUANTITYORDERED,PRICE,SALES,ORDERDATE,STATUS,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CITY,STATE,POSTALCODE,COUNTRY,CONTACTFIRSTNAME,CONTACTLASTNAME,DEALSIZE
10107,30,95.7,2871,2/24/2003 0:00,Shipped,2003,Motorcycles,80,S10_1678,Land of Toys Inc.,NYC,NY,10022,USA,Kwai,Yu,Small
10121,34,81.35,2765.9,05-07-03 0:00,Shipped,2003,Motorcycles,80,S10_1678,Reims Collectables,Reims,,51100,France,Paul,Henriot,Small
10134,41,94.74,3884.34,07-01-03 0:00,Shipped,2003,Motorcycles,80,S10_1678,Lyon Souveniers,Paris,,75508,France,Daniel,Da Cunha,Medium
10145,45,83.26,3746.7,8/25/2003 0:00,Shipped,2003,Motorcycles,80,S10_1678,Toys4GrownUps.com,Pasadena,CA,90003,USA,Julie,Young,Medium
10159,49,100,5205.27,10-10-03 0:00,Shipped,2003,Motorcycles,80,S10_1678,Corporate Gift Ideas Co.,San Francisco,CA,,USA,Julie,Brown,Medium
10168,36,96.66,3479.76,10/28/2003 0:00,Shipped,2003,Motorcycles,80,S10_1678,Technics Stores Inc.,Burlingame,CA,94217,USA,Juri,Hirano,Medium
10180,29,86.13,2497.77,11-11-03 0:00,Shipped,2003,Motorcycles,80,S10_1678,Daedalus Designs Imports,Lille,,59000,France,Martine,Rance,Small
10188,48,100,5512.32,11/18/2003 0:00,Shipped,2003,Motorcycles,80,S10_1678,Herkku Gifts,Bergen,,N 5804,Norway,Veysel,Oeztan,Medium
10201,22,98.57,2168.54,12-01-03 0:00,Shipped,2003,Motorcycles,80,S10_1678,Mini Wheels Co.,San Francisco,CA,,USA,Julie,Murphy,Small
10211,41,100,4708.44,1/15/2004 0:00,Shipped,2004,Motorcycles,80,S10_1678,Auto Canal Petit,Paris,,75016,France,Dominique,Perrier,Medium
10223,37,100,3965.66,2/20/2004 0:00,Shipped,2004,Motorcycles,80,S10_1678,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,Peter,Ferguson,Medium
10237,23,100,2333.12,04-05-04 0:00,Shipped,2004,Motorcycles,80,S10_1678,Vitachrome Inc.,NYC,NY,10022,USA,Michael,Frick,Small
10251,28,100,3188.64,5/18/2004 0:00,Shipped,2004,Motorcycles,80,S10_1678,Tekni Collectables Inc.,Newark,NJ,94019,USA,William,Brown,Medium
10263,34,100,3676.76,6/28/2004 0:00,Shipped,2004,Motorcycles,80,S10_1678,Gift Depot Inc.,Bridgewater,CT,97562,USA,Julie,King,Medium
10275,45,92.83,4177.35,7/23/2004 0:00,Shipped,2004,Motorcycles,80,S10_1678,La Rochelle Gifts,Nantes,,44000,France,Janine,Labrune,Medium
10285,36,100,4099.68,8/27/2004 0:00,Shipped,2004,Motorcycles,80,S10_1678,Marta's Replicas Co.,Cambridge,MA,51247,USA,Marta,Hernandez,Medium
10299,23,100,2597.39,9/30/2004 0:00,Shipped,2004,Motorcycles,80,S10_1678,"Toys of Finland, Co.",Helsinki,,21240,Finland,Matti,Karttunen,Small
10309,41,100,4394.38,10/15/2004 0:00,Shipped,2004,Motorcycles,80,S10_1678,Baane Mini Imports,Stavern,,4110,Norway,Jonas,Bergulfsen,Medium
10318,46,94.74,4358.04,11-02-04 0:00,Shipped,2004,Motorcycles,80,S10_1678,Diecast Classics Inc.,Allentown,PA,70267,USA,Kyung,Yu,Medium
10329,42,100,4396.14,11/15/2004 0:00,Shipped,2004,Motorcycles,80,S10_1678,Land of Toys Inc.,NYC,NY,10022,USA,Kwai,Yu,Medium
10341,41,100,7737.93,11/24/2004 0:00,Shipped,2004,Motorcycles,80,S10_1678,Salzburg Collectables,Salzburg,,5020,Austria,Georg,Pipps,Large
10361,20,72.55,1451,12/17/2004 0:00,Shipped,2004,Motorcycles,80,S10_1678,Souveniers And Things Co.,Chatswood,NSW,2067,Australia,Adrian,Huxley,Small
10375,21,34.91,733.11,02-03-05 0:00,Shipped,2005,Motorcycles,80,S10_1678,La Rochelle Gifts,Nantes,,44000,France,Janine,Labrune,Small
10388,42,76.36,3207.12,03-03-05 0:00,Shipped,2005,Motorcycles,80,S10_1678,FunGiftIdeas.com,New Bedford,MA,50553,USA,Violeta,Benitez,Medium
10403,24,100,2434.56,04-08-05 0:00,Shipped,2005,Motorcycles,80,S10_1678,"UK Collectables, Ltd.",Liverpool,,WX1 6LT,UK,Elizabeth,Devon,Small
10417,66,100,7516.08,5/13/2005 0:00,Disputed,2005,Motorcycles,80,S10_1678,Euro Shopping Channel,Madrid,,28034,Spain,Diego,Freyre,Large
10103,26,100,5404.62,1/29/2003 0:00,Shipped,2003,Classic Cars,80,S10_1949,Baane Mini Imports,Stavern,,4110,Norway,Jonas,Bergulfsen,Medium
10112,29,100,7209.11,3/24/2003 0:00,Shipped,2003,Classic Cars,80,S10_1949,"Volvo Model Replicas, Co",Lule,,S-958 22,Sweden,Christina,Berglund,Large
10126,38,100,7329.06,5/28/2003 0:00,Shipped,2003,Classic Cars,80,S10_1949,"Corrida Auto Replicas, Ltd",Madrid,,28023,Spain,Mart�n,Sommer,Large
10140,37,100,7374.1,7/24/2003 0:00,Shipped,2003,Classic Cars,80,S10_1949,Technics Stores Inc.,Burlingame,CA,94217,USA,Juri,Hirano,Large
10150,45,100,10993.5,9/19/2003 0:00,Shipped,2003,Classic Cars,80,S10_1949,"Dragon Souveniers, Ltd.",Singapore,,79903,Singapore,Eric,Natividad,Large
10163,21,100,4860.24,10/20/2003 0:00,Shipped,2003,Classic Cars,80,S10_1949,Classic Legends Inc.,NYC,NY,10022,USA,Maria,Hernandez,Medium
10174,34,100,8014.82,11-06-03 0:00,Shipped,2003,Classic Cars,80,S10_1949,"Australian Gift Network, Co",South Brisbane,Queensland,4101,Australia,Tony,Calaghan,Large
10183,23,100,5372.57,11/13/2003 0:00,Shipped,2003,Classic Cars,80,S10_1949,"Classic Gift Ideas, Inc",Philadelphia,PA,71270,USA,Francisca,Cervantes,Medium
10194,42,100,7290.36,11/25/2003 0:00,Shipped,2003,Classic Cars,80,S10_1949,"Saveley & Henriot, Co.",Lyon,,69004,France,Mary,Saveley,Large
10206,47,100,9064.89,12-05-03 0:00,Shipped,2003,Classic Cars,80,S10_1949,Canadian Gift Exchange Network,Vancouver,BC,V3F 2K1,Canada,Yoshi,Tannamuri,Large
10215,35,100,6075.3,1/29/2004 0:00,Shipped,2004,Classic Cars,80,S10_1949,West Coast Collectables Co.,Burbank,CA,94019,USA,Steve,Thompson,Medium
10228,29,100,6463.23,03-10-04 0:00,Shipped,2004,Classic Cars,80,S10_1949,Cambridge Collectables Co.,Cambridge,MA,51247,USA,Kyung,Tseng,Medium
10245,34,100,6120.34,05-04-04 0:00,Shipped,2004,Classic Cars,80,S10_1949,Super Scale Inc.,New Haven,CT,97823,USA,Leslie,Murphy,Medium
10258,32,100,7680.64,6/15/2004 0:00,Shipped,2004,Classic Cars,80,S10_1949,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,106-0032,Japan,Akiko,Shimamura,Large
10270,21,100,4905.39,7/19/2004 0:00,Shipped,2004,Classic Cars,80,S10_1949,Souveniers And Things Co.,Chatswood,NSW,2067,Australia,Adrian,Huxley,Medium
10280,34,100,8014.82,8/17/2004 0:00,Shipped,2004,Classic Cars,80,S10_1949,Amica Models & Co.,Torino,,10100,Italy,Paolo,Accorti,Large
10291,37,100,7136.19,09-08-04 0:00,Shipped,2004,Classic Cars,80,S10_1949,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden,Maria,Larsson,Large
10304,47,100,10172.7,10-11-04 0:00,Shipped,2004,Classic Cars,80,S10_1949,Auto Assoc. & Cie.,Versailles,,78000,France,Daniel,Tonini,Large
10312,48,100,11623.7,10/21/2004 0:00,Shipped,2004,Classic Cars,80,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA,Valarie,Nelson,Large
10322,40,100,6000.4,11-04-04 0:00,Shipped,2004,Classic Cars,80,S10_1949,Online Diecast Creations Co.,Nashua,NH,62005,USA,Valarie,Young,Medium
10333,26,100,3003,11/18/2004 0:00,Shipped,2004,Classic Cars,80,S10_1949,Mini Wheels Co.,San Francisco,CA,,USA,Julie,Murphy,Medium
10347,30,100,3944.7,11/29/2004 0:00,Shipped,2004,Classic Cars,80,S10_1949,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,Peter,Ferguson,Medium
10357,32,100,5691.84,12-10-04 0:00,Shipped,2004,Classic Cars,80,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA,Valarie,Nelson,Medium
10369,41,100,4514.92,1/20/2005 0:00,Shipped,2005,Classic Cars,80,S10_1949,Collectables For Less Inc.,Brickhaven,MA,58339,USA,Allen,Nelson,Medium
10381,36,100,8254.8,2/17/2005 0:00,Shipped,2005,Classic Cars,80,S10_1949,Corporate Gift Ideas Co.,San Francisco,CA,,USA,Julie,Brown,Large
10391,24,100,2416.56,03-09-05 0:00,Shipped,2005,Classic Cars,80,S10_1949,"Anna's Decorations, Ltd",North Sydney,NSW,2060,Australia,Anna,O'Hara,Small
10411,23,100,4140.23,05-01-05 0:00,Shipped,2005,Classic Cars,80,S10_1949,Quebec Home Shopping Network,Montreal,Quebec,H1J 1C3,Canada,Jean,Fresnisre,Medium
10424,50,100,12001,5/31/2005 0:00,In Process,2005,Classic Cars,80,S10_1949,Euro Shopping Channel,Madrid,,28034,Spain,Diego,Freyre,Large
10107,39,99.91,3896.49,2/24/2003 0:00,Shipped,2003,Motorcycles,80,S10_2016,Land of Toys Inc.,NYC,NY,10022,USA,Kwai,Yu,Medium
10120,29,96.34,2793.86,4/29/2003 0:00,Shipped,2003,Motorcycles,80,S10_2016,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,Peter,Ferguson,Small
10134,27,100,3307.77,07-01-03 0:00,Shipped,2003,Motorcycles,80,S10_2016,Lyon Souveniers,Paris,,75508,France,Daniel,Da Cunha,Medium
10145,37,100,5192.95,8/25/2003 0:00,Shipped,2003,Motorcycles,80,S10_2016,Toys4GrownUps.com,Pasadena,CA,90003,USA,Julie,Young,Medium
10159,37,100,5016.83,10-10-03 0:00,Shipped,2003,Motorcycles,80,S10_2016,Corporate Gift Ideas Co.,San Francisco,CA,,USA,Julie,Brown,Medium
10168,27,100,3660.93,10/28/2003 0:00,Shipped,2003,Motorcycles,80,S10_2016,Technics Stores Inc.,Burlingame,CA,94217,USA,Juri,Hirano,Medium
10180,42,100,4695.6,11-11-03 0:00,Shipped,2003,Motorcycles,80,S10_2016,Daedalus Designs Imports,Lille,,59000,France,Martine,Rance,Medium
10188,38,96.34,3660.92,11/18/2003 0:00,Shipped,2003,Motorcycles,80,S10_2016,Herkku Gifts,Bergen,,N 5804,Norway,Veysel,Oeztan,Medium
10201,24,100,3025.92,12-01-03 0:00,Shipped,2003,Motorcycles,80,S10_2016,Mini Wheels Co.,San Francisco,CA,,USA,Julie,Murphy,Medium
10210,23,100,3009.09,01-12-04 0:00,Shipped,2004,Motorcycles,80,S10_2016,Osaka Souveniers Co.,Osaka,Osaka,530-0003,Japan,Mory,Kentary,Medium
10223,47,100,5422.39,2/20/2004 0:00,Shipped,2004,Motorcycles,80,S10_2016,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,Peter,Ferguson,Medium
10236,22,100,2852.08,04-03-04 0:00,Shipped,2004,Motorcycles,80,S10_2016,Motor Mint Distributors Inc.,Philadelphia,PA,71270,USA,Rosa,Hernandez,Small
10251,44,100,5756.52,5/18/2004 0:00,Shipped,2004,Motorcycles,80,S10_2016,Tekni Collectables Inc.,Newark,NJ,94019,USA,William,Brown,Medium
10263,40,100,4472,6/28/2004 0:00,Shipped,2004,Motorcycles,80,S10_2016,Gift Depot Inc.,Bridgewater,CT,97562,USA,Julie,King,Medium
10275,22,100,2904.44,7/23/2004 0:00,Shipped,2004,Motorcycles,80,S10_2016,La Rochelle Gifts,Nantes,,44000,France,Janine,Labrune,Small
10285,47,100,6484.59,8/27/2004 0:00,Shipped,2004,Motorcycles,80,S10_2016,Marta's Replicas Co.,Cambridge,MA,51247,USA,Marta,Hernandez,Medium
10298,39,96.34,3757.26,9/27/2004 0:00,Shipped,2004,Motorcycles,80,S10_2016,Atelier graphique,Nantes,,44000,France,Carine,Schmitt,Medium
10308,34,100,4043.96,10/15/2004 0:00,Shipped,2004,Motorcycles,80,S10_2016,Mini Classics,White Plains,NY,24067,USA,Steve,Frick,Medium
10318,45,100,5566.5,11-02-04 0:00,Shipped,2004,Motorcycles,80,S10_2016,Diecast Classics Inc.,Allentown,PA,70267,USA,Kyung,Yu,Medium
10329,20,100,3176,11/15/2004 0:00,Shipped,2004,Motorcycles,80,S10_2016,Land of Toys Inc.,NYC,NY,10022,USA,Kwai,Yu,Medium
